4716,14.40,212.94
4716,14.40,0.00
4716,14.40,0.00
4717,14.40,0.00
4717,14.40,0.00
4717,14.40,0.00
4717,14.40,0.00
4840,22.50,66.06
4840,22.50,0.00
4840,22.50,0.00
4841,22.50,0.00
4841,22.50,0.00
4841,22.50,0.00
4841,22.50,0.00
4964,12.60,-80.76
4964,12.60,0.00
4964,12.60,0.00
4965,12.60,0.00
4965,12.15,-1882.84
4965,12.15,0.00
4965,12.15,0.00
5088,-2.25,-117.42
5088,-2.25,0.00
5088,-2.25,0.00
5089,-2.25,0.00
5089,-2.25,0.00
5089,-2.25,0.00
5089,-2.25,0.00
5212,-8.55,-51.42
5212,-8.55,0.00
5212,-8.55,0.00
5213,-8.55,0.00
5213,-8.55,0.00
5213,-8.55,0.00
5213,-8.55,0.00
5336,-5.40,25.72
5336,-5.40,0.00
5336,-5.40,0.00
5337,-5.40,0.00
5337,-5.40,0.00
5337,-5.40,0.00
5460,-1.35,33.07
5460,-1.35,0.00
5460,-0.90,1778.66
5460,-0.90,0.00
5461,-0.90,0.00
5461,-0.90,0.00
5461,-0.90,0.00
5584,0.00,7.35
5584,0.00,0.00
5584,0.00,0.00
5584,0.00,0.00
5585,0.00,0.00
5585,0.00,0.00
5585,0.00,0.00
5585,0.00,0.00
5708,-0.90,-7.35
5708,-0.90,0.00
5708,-0.90,0.00
5708,-0.90,0.00
5709,-0.90,0.00
5709,-0.90,0.00
5709,-0.90,0.00
5832,-0.90,0.00
5832,-0.90,0.00
5832,-0.90,0.00
5832,-0.90,0.00
5833,-0.90,0.00
5833,-0.90,0.00
5833,-0.90,0.00
5956,-0.45,3.67
5956,-0.45,0.00
5956,-0.45,0.00
5956,-0.45,0.00
5957,-0.45,0.00
5957,-0.45,0.00
5957,-0.45,0.00
6080,-0.45,0.00
6080,-0.45,0.00
6080,-0.45,0.00
6080,-0.45,0.00
6081,-0.45,0.00
6081,-0.45,0.00
6081,-0.45,0.00
6204,-0.45,0.00
6204,-0.45,0.00
6204,-0.45,0.00
